MIDPEL_1,MIDPEL_2,MIDPEL_3,LFEP_1,LFEP_2,LFEP_3,RFEP_1,RFEP_2,RFEP_3,LFEO_1,LFEO_2,LFEO_3,RFEO_1,RFEO_2,RFEO_3,LTIO_1,LTIO_2,LTIO_3,RTIO_1,RTIO_2,RTIO_3,qRPV_1,qRPV_2,qRPV_3,qRPV_4,qLTH_1,qLTH_2,qLTH_3,qLTH_4,qRTH_1,qRTH_2,qRTH_3,qRTH_4,qLSK_1,qLSK_2,qLSK_3,qLSK_4,qRSK_1,qRSK_2,qRSK_3,qRSK_4
0.044,0,1,0.044,0.2,1,0.044,-0.2,1,0.26297498671999,0.2,0.550500327930064,0.493499672069936,-0.2,0.78102501328001,0.26297498671999,0.2,0.0505003279300636,0.493499672069936,-0.2,0.28102501328001,1,0,0,0,0.847923927436884,0,-0.530117923937694,0,0.847923927436884,0,-0.530117923937694,0,1,0,0,0,1,0,0,0
0.045,0,1,0.045,0.2,1,0.045,-0.2,1,0.268701471871817,0.2,0.552833754088725,0.492166245911275,-0.2,0.776298528128183,0.268701471871817,0.2,0.0528337540887254,0.492166245911275,-0.2,0.276298528128183,1,0,0,0,0.850706454584551,0,-0.525641063966832,0,0.850706454584551,0,-0.525641063966832,0,1,0,0,0,1,0,0,0
0.046,0,1,0.046,0.2,1,0.046,-0.2,1,0.274403095254094,0.2,0.555216877480328,0.490783122519672,-0.2,0.771596904745906,0.274403095254094,0.2,0.0552168774803281,0.490783122519672,-0.2,0.271596904745906,1,0,0,0,0.85346534508092,0,-0.521149599199602,0,0.85346534508092,0,-0.521149599199602,0,1,0,0,0,1,0,0,0
0.047,0,1,0.047,0.2,1,0.047,-0.2,1,0.280079334337056,0.2,0.557649433248928,0.489350566751072,-0.2,0.766920665662944,0.280079334337056,0.2,0.0576494332489277,0.489350566751072,-0.2,0.266920665662944,1,0,0,0,0.856200522270955,0,-0.516643654430153,0,0.856200522270955,0,-0.516643654430153,0,1,0,0,0,1,0,0,0
0.048,0,1,0.048,0.2,1,0.048,-0.2,1,0.285729669412106,0.2,0.560131151044756,0.487868848955244,-0.2,0.762270330587894,0.285729669412106,0.2,0.0601311510447564,0.487868848955244,-0.2,0.262270330587894,1,0,0,0,0.85891191015849,0,-0.512123354854955,0,0.85891191015849,0,-0.512123354854955,0,1,0,0,0,1,0,0,0
0.049,0,1,0.049,0.2,1,0.049,-0.2,1,0.291353583649568,0.2,0.56266175505427,0.48633824494573,-0.2,0.757646416350432,0.291353583649568,0.2,0.0626617550542696,0.48633824494573,-0.2,0.257646416350432,1,0,0,0,0.861599433408338,0,-0.507588826069321,0,0.861599433408338,0,-0.507588826069321,0,1,0,0,0,1,0,0,0
0.05,0,1,0.05,0.2,1,0.05,-0.2,1,0.296950563156132,0.2,0.565240964030798,0.484759035969201,-0.2,0.753049436843868,0.296950563156132,0.2,0.0652409640307985,0.484759035969201,-0.2,0.253049436843868,1,0,0,0,0.864263017348383,0,-0.503040194063922,0,0.864263017348383,0,-0.503040194063922,0,1,0,0,0,1,0,0,0
0.051,0,1,0.051,0.2,1,0.051,-0.2,1,0.302520097031961,0.2,0.567868491325808,0.483131508674192,-0.2,0.748479902968039,0.302520097031961,0.2,0.0678684913258083,0.483131508674192,-0.2,0.248479902968039,1,0,0,0,0.86690258797166,0,-0.49847758522128,0,0.86690258797166,0,-0.49847758522128,0,1,0,0,0,1,0,0,0
0.052,0,1,0.052,0.2,1,0.052,-0.2,1,0.308061677427477,0.2,0.570544044920755,0.481455955079245,-0.2,0.743938322572522,0.308061677427477,0.2,0.0705440449207551,0.481455955079245,-0.2,0.243938322572522,1,0,0,0,0.869518071938403,0,-0.493901126312263,0,0.869518071938403,0,-0.493901126312263,0,1,0,0,0,1,0,0,0
0.053,0,1,0.053,0.2,1,0.053,-0.2,1,0.313574799599801,0.2,0.57326732745954,0.47973267254046,-0.2,0.739425200400199,0.313574799599801,0.2,0.0732673274595401,0.47973267254046,-0.2,0.239425200400199,1,0,0,0,0.872109396578091,0,-0.489310944492557,0,0.872109396578091,0,-0.489310944492557,0,1,0,0,0,1,0,0,0
0.054,0,1,0.054,0.2,1,0.054,-0.2,1,0.319058961968847,0.2,0.576038036281558,0.477961963718442,-0.2,0.734941038031153,0.319058961968847,0.2,0.076038036281558,0.477961963718442,-0.2,0.234941038031153,1,0,0,0,0.874676489891461,0,-0.484707167299137,0,0.874676489891461,0,-0.484707167299137,0,1,0,0,0,1,0,0,0
0.055,0,1,0.055,0.2,1,0.055,-0.2,1,0.324513666173068,0.2,0.578855863455334,0.476144136544666,-0.2,0.730486333826933,0.324513666173068,0.2,0.078855863455334,0.476144136544666,-0.2,0.230486333826933,1,0,0,0,0.877219280552512,0,-0.480089922646719,0,0.877219280552512,0,-0.480089922646719,0,1,0,0,0,1,0,0,0
