gfr_acc_MP_act_1,gfr_acc_MP_act_2,gfr_acc_MP_act_3,gfr_acc_LA_act_1,gfr_acc_LA_act_2,gfr_acc_LA_act_3,gfr_acc_RA_act_1,gfr_acc_RA_act_2,gfr_acc_RA_act_3,bIsStatMP,bIsStatLA,bIsStatRA,qPelvisEst_1,qPelvisEst_2,qPelvisEst_3,qPelvisEst_4,qLankleEst_1,qLankleEst_2,qLankleEst_3,qLankleEst_4,qRankleEst_1,qRankleEst_2,qRankleEst_3,qRankleEst_4
-2.45636844198315e-14,0,0,-0.131434520538119,0,0.150805236010911,-0.150805236010873,0,0.131434520538057,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-4.16333634234432e-16,0,0,-0.133017014983284,0,0.149411265044838,-0.149411265044827,0,0.133017014983446,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2.45636844198317e-14,0,0,-0.134584726162608,0,0.148000688785843,-0.14800068878588,0,0.134584726162621,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
4.16333634234435e-16,0,0,-0.13613747984361,0,0.146573664002716,-0.146573664002777,0,0.136137479843348,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-1.20736753927985e-14,0,0,-0.137675103455545,0,0.145130349292766,-0.145130349292828,0,0.137675103455482,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1.20736753927985e-14,0,0,-0.139197426109964,0,0.143670905063385,-0.143670905063274,0,0.139197426110125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1.20736753927986e-14,0,0,-0.140704278619135,0,0.142195493513854,-0.142195493513791,0,0.140704278619198,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-1.20736753927986e-14,0,0,-0.142195493513915,0,0.140704278618998,-0.140704278619059,0,0.142195493513854,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-1.20736753927985e-14,0,0,-0.143670905063199,0,0.139197426110125,-0.139197426110088,0,0.143670905063285,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1.20736753927985e-14,0,0,-0.145130349292753,0,0.137675103455582,-0.137675103455571,0,0.145130349292766,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,0,-0.146573664002907,0,0.136137479843302,-0.136137479843452,0,0.146573664002759,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-1.20736753927985e-14,0,0,-0.148000688785903,0,0.134584726162621,-0.134584726162632,0,0.148000688785842,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1.20736753927985e-14,0,0,-0.149411265044693,0,0.133017014983541,-0.133017014983429,0,0.149411265044754,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1.20736753927986e-14,0,0,-0.150805236010851,0,0.131434520538058,-0.131434520538146,0,0.150805236010912,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-1.20736753927986e-14,0,0,-0.152182446760949,0,0.12983741870208,-0.129837418701993,0,0.152182446760938,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-2.45636844198315e-14,0,0,-0.153542744234211,0,0.128225886974516,-0.128225886974478,0,0.153542744234198,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-4.16333634234432e-16,0,0,-0.154885977249573,0,0.126600104458201,-0.126600104458338,0,0.154885977249534,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2.45636844198317e-14,0,0,-0.156211996522608,0,0.124960251839506,-0.124960251839345,0,0.156211996522521,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
4.16333634234435e-16,0,0,-0.157520654682198,0,0.123306511368243,-0.123306511368206,0,0.157520654682237,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
